[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y5i124umliwlhj7g8ye0b78a1r47arqq', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:04:09'); args=(u'y5i124umliwlhj7g8ye0b78a1r47arqq', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:04:09')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'y7hqfhupfghs6r7oywby1dc01jjs8o3u'  LIMIT 1; args=(u'y7hqfhupfghs6r7oywby1dc01jjs8o3u',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y7hqfhupfghs6r7oywby1dc01jjs8o3u', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-11-13 05:53:56'); args=(u'y7hqfhupfghs6r7oywby1dc01jjs8o3u', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-11-13 05:53:56')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'y8jd946cdpgq0m5atnghh5kavzeou6s4'  LIMIT 1; args=(u'y8jd946cdpgq0m5atnghh5kavzeou6s4',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y8jd946cdpgq0m5atnghh5kavzeou6s4', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-06 08:53:51'); args=(u'y8jd946cdpgq0m5atnghh5kavzeou6s4', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-06 08:53:51')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'y91v2qqr0k3ekfgqh3o1edc01gn0689m'  LIMIT 1; args=(u'y91v2qqr0k3ekfgqh3o1edc01gn0689m',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y91v2qqr0k3ekfgqh3o1edc01gn0689m', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:47:46'); args=(u'y91v2qqr0k3ekfgqh3o1edc01gn0689m', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:47:46')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'y9l8lk242wcun3820w1ed1dfkb9abs6u'  LIMIT 1; args=(u'y9l8lk242wcun3820w1ed1dfkb9abs6u',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y9l8lk242wcun3820w1ed1dfkb9abs6u', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-26 10:30:30'); args=(u'y9l8lk242wcun3820w1ed1dfkb9abs6u', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-26 10:30:30')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yeycab7krbd25qaox497h5kvd8389non'  LIMIT 1; args=(u'yeycab7krbd25qaox497h5kvd8389non',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yeycab7krbd25qaox497h5kvd8389non', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:03:36'); args=(u'yeycab7krbd25qaox497h5kvd8389non', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:03:36')
